cohort	ldref	pop	prefix	pheno	r2	r2_2.5	r2_97.5
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin10_V2.S1	height	0.0363188698145644	0.0266616299587535	0.0468810722081264
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin11_V2.S1	height	0.0374246669942252	0.027192675040838	0.048493150209902
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin12_V2.S1	height	0.0388534998619617	0.0280959992914537	0.0489900030685488
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin13_V2.S1	height	0.0410044010305138	0.0311630611011138	0.05367928253898
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin14_V2.S1	height	0.0396088077475488	0.0294039175401443	0.0500111030240097
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin15_V2.S1	height	0.0385813290796458	0.0290597272529275	0.0492381320023978
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin16_V2.S1	height	0.0355248823343879	0.0263219879431624	0.0454546938245747
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin17_V2.S1	height	0.0338055506878847	0.0246852503211442	0.0435148640265251
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin18_V2.S1	height	0.0355340185079226	0.0257931785742643	0.0463146465570128
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin19_V2.S1	height	0.0355093222514169	0.0256807671384671	0.0465969112971371
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin1_V2.S1	height	0.00989728448822069	0.00500626269200294	0.0160891786063353
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin20_V2.S1	height	0.036276360305927	0.0266997789803089	0.0469665677198698
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin21_V2.S1	height	0.0327357363506138	0.0238100775219773	0.043129765789992
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin22_V2.S1	height	0.0330489728584771	0.0240536420717111	0.0423628321629878
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin23_V2.S1	height	0.0317427491413596	0.0235876294813771	0.0420269812336655
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin24_V2.S1	height	0.0329074773887783	0.0241486794365656	0.0426148143166907
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin25_V2.S1	height	0.0337950560019368	0.0251028348427777	0.0433779456391306
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin26_V2.S1	height	0.036569042606728	0.0274412651375345	0.0462819256592587
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin27_V2.S1	height	0.035532690234483	0.0256757109542406	0.0462293505260402
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin28_V2.S1	height	0.0319064385972826	0.0232416342502682	0.0420798409503855
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin29_V2.S1	height	0.0305067435929377	0.02211597559552	0.0403395838774771
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin2_V2.S1	height	0.028281707761165	0.0193835247911786	0.0379640577037849
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin30_V2.S1	height	0.0307574388884143	0.022316756883063	0.0406085889457088
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin3_V2.S1	height	0.0309486032378232	0.0217873600500741	0.0409128844422371
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin4_V2.S1	height	0.0361478567185825	0.0258141387015064	0.0456399397426906
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin5_V2.S1	height	0.0360550268143832	0.0264112604855694	0.0465818986021564
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin6_V2.S1	height	0.0354495560540988	0.0262328380931397	0.0460795010218438
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin7_V2.S1	height	0.0309477857840732	0.0216166846222624	0.0408772363116282
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin8_V2.S1	height	0.0355012458611317	0.0267495215507103	0.0459709114184804
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin10addBin9_V2.S1	height	0.0365539481900711	0.0271095220149178	0.0477727245445525
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin20addBin10_V2.S1	height	0.0493137017724518	0.0382402640214754	0.0613615870276505
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin20addBin11_V2.S1	height	0.0503384984451666	0.0389341534062871	0.0620336803444019
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin20addBin12_V2.S1	height	0.0487066211286105	0.0382447601323996	0.06112148902566
UKBB_BBJ_V2	1kgeur	EAS	ukbEAS_height_baseBin20addBin13_V2.S1	height	0.0516354029114411	0.0400994250799991	0.0637886635439582
